RECOMMENDATION,Short Recommendation,Action,Short Action,Formal Stakeholder,Category,Labels,Insert Datetime
Beef,Beef,"Defend interests of the Irish beef sector in international trade agreements pursued by the EU, particularly in light of competitive threat posed by the US and Mercosur",Defend Irish beef in trade agreements,European Union,International Organisation,International organisation 008,2025-06-19T12:33:35.895Z
Beef,Beef,Seek to maintain support for suckler producers in the current CAP arrangements and prioritise that support in future negotiations on the post 2020 policy,Maintain support for suckler producers,Suckler Carbon Efficiency Programme,"Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 007",2025-06-19T12:33:35.895Z
Sheep,Sheep,"Work collaboratively with processors, Bord Bia, Teagasc and Sheep Ireland to modify the very seasonal nature of Irelandâ€™s sheepmeat supply, and maintain our presence, and access to markets throughout the year","Modify seasonality, maintain sheep markets",Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Sheep,Sheep,Increase sheep farmer participation in Knowledge Transfer Programmes,Increase sheep farmer knowledge participation,National Council Of The Irish Cattle And Sheep Farmersâ€™ Association,Trade Association,Trade Association 021,2025-06-19T12:33:35.895Z
Sheep,Sheep,Enhance hill farming systems by promoting greater integration with lowland sheep producers,Promote hill-lowland sheep integration,Irish Natura And Hill Farmers Association,Trade Association,Trade Association 015,2025-06-19T12:33:35.895Z
Sheep,Sheep,Enhance hill farming systems by promoting greater integration with lowland sheep producers,Promote hill-lowland sheep integration,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Sheep,Sheep,DAFM to continue to support and engage with Sheep Ireland on their work to drive better genetic gain for the flock,Support genetic gain in sheep flock,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
Sheep,Sheep,Teagasc to undertake a review of their sheep research and advisory programmes,Review sheep research programmes,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Prepared Consumer Foods (PCF),Prepared Consumer Foods (PCF),Continue and expand the Employment and Investment Incentive Scheme (Enterprise Ireland) and Seed Capital Scheme to encourage more investment in small PCF companies,Expand investment incentive schemes,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003",2025-06-19T12:33:35.895Z
Prepared Consumer Foods (PCF) and Alcoholic Beverages Sector,Prepared Consumer Foods (PCF) and Alcoholic Beverages Sector,Establish discussion groups for malting barley growers,Establish malting barley discussion groups,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Prepared Consumer Foods (PCF) and Alcoholic Beverages Sector,Prepared Consumer Foods (PCF) and Alcoholic Beverages Sector,Develop fiscal and other revenue generating initiatives which will enable the Irish Whiskey industry to fund the minimum three year maturation process,Develop whiskey funding initiatives,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Horticulture,Horticulture,Teagasc and growers to explore the use of precision technologies to accurately map crop input requirements,Explore precision crop input mapping,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:35.895Z
Horticulture,Horticulture,Teagasc and growers to explore the use of precision technologies to accurately map crop input requirements,Explore precision crop input mapping,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Cereals/Tillage,Cereals/Tillage,Roll out Origin Green programme to tillage producers to underpin the sustainability credentials of the industry,Expand Origin Green tillage programme,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-19T12:33:35.895Z
Forestry,Forestry,DAFM should explore innovative financial and funding mechanisms to encourage greater level of institutional investment in afforestation and in mobilising wood supply from the existing private forest estate,Explore financial support for afforestation,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:35.895Z
